ligand,receptor,source,target,label
VTN,PVR,P04004,P15151,1
WNT4,FZD2_LRP5,P56705,Q14332_O75197,1
HLA-E,KLRK1,P13747,P26718,1
GLS_SLC17A7,GRM6,COMPLEX:O94925_Q9P2U7,O15303,1
DLL4,NOTCH1,Q9NR61,P46531,1
NOTUM,WNT9B,Q6P988,O14905,1
COL2A1,OR1E1,P02458,P30953,1
APOB,LSR,P04114,Q86X29,1
ULBP2,HCST_KLRK1,Q9BZM5,NA_P26718,1
EPHB3,EFNB3,P54753,Q15768,1
SFRP5,WNT10A,Q5T4F7,Q9GZT5,1
TNFRSF10B,TNFSF10,O14763,P50591,1
EREG,ERBB4,O14944,Q15303,1
GLS2_SLC1A3,GRM4,COMPLEX:P43003_Q9UI32,Q14833,1
FGF4,FGFR2,P08620,P21802,1
NPW,ADRA2A,Q8N729,P08913,1
SHMT2_SLC6A9,GLRA2,COMPLEX:P34897_P48067,COMPLEX:P23416,1
CCL23,MTNR1A,P55773,P48039,1
ABCA1,SHANK1,O95477,Q9Y566,1
GAD2_SLC6A1,GABRA3_GABRB3_GABRE,COMPLEX:P30531_Q05329,NA_NA_NA,1
IFNA16,IFNAR1_IFNAR2,P05015,P17181_P48551,1
GDF10,BMPR2,P55107,Q13873,1
IFNL2,IFNLR1,Q8IZJ0,Q8IU57,1
RELN,LRP8,P78509,Q14114,1
DBH_SLC18A1,ADRB1,COMPLEX:P09172_P54219,P08588,1
PPBP,ACKR1,P02775,Q16570,1
TGFB3,ITGB6,P10600,P18564,1
FRZB,WNT9A,Q92765,O14904,1
HLA-A,CD8B,P04439,P10966,1
WNT5A,LRP2,P41221,P98164,1
APCDD1,FZD9_LRP6,Q8J025,O00144_O75581,1
SCARB1,PTDSS1,Q8WTV0,P48651,1
LEAP2,GHRL,Q969E1,Q9UBU3,1
WNT10B,FZD7_LRP5,O00744,O75084_O75197,1
VIP,TSHR,P01282,P16473,1
NPY,GRM7,P01303,Q14831,1
FGA,ITGAX,P02671,P20702,1
DDC_SLC6A3,DRD1,COMPLEX:P20711_Q01959,P21728,1
CYP19A1,ESR2,COMPLEX:P11511,Q92731,1
CALCB,VIPR1,P10092,P32241,1
PENK,ADRA2A,P01210,P08913,1
COL9A2,ITGA3_ITGB1,Q14055,P26006_P05556,1
GAD2_SLC6A13,GABRA6_GABRB3_GABRG2,COMPLEX:Q05329_Q9NSD5,NA_NA_NA,1
WNT7A,FZD9_LRP5,O00755,O00144_O75197,1
RSPO2,WNT7B,Q6UXX9,P56706,1
APOC3,TLR2,P02656,O60603,1
EFNB2,PECAM1,P52799,P16284,1
CXCL3,GRM7,P19876,Q14831,1
SERPING1,SELE,P05155,P16581,1
IFNA8,IFNAR1,P32881,P17181,1
LEFTY2,BMP4,O00292,P12644,1
LAMA1,ITGA3_ITGB1,P25391,P26006_P05556,1
H3BSR6,CX3CR1,H3BSR6,P49238,1
LAMB2,ITGA6_ITGB4,P55268,P23229_P16144,1
IFNA17,IFNA2_IFNAR1_IFNAR2,P01571,P01563_P17181_P48551,1
C5,GRM7,P01031,Q14831,1
GLS2_SLC1A6,GRIK3_GRIK5,COMPLEX:P48664_Q9UI32,Q13003_NA,1
LEFTY2,BMP8A,O00292,Q7Z5Y6,1
DBH_SLC18A1,ADRA1B,COMPLEX:P09172_P54219,P35368,1
GLS2_SLC1A3,GRIK3,COMPLEX:P43003_Q9UI32,Q13003,1
C1QA,CR1,P02745,P17927,1
B2M,HFE,P61769,Q30201,1
IFNL1,IL10RB,Q8IU54,Q08334,1
NXPH3,NRXN1,O95157,P58400,1
GAD2_SLC6A1,GABRA3_GABRB3_GABRQ,COMPLEX:P30531_Q05329,NA_NA_NA,1
GZMA,F2RL3,P12544,Q96RI0,1
IGF2,IGF1R,P01344,P08069,1
DKK1,LRP6,O94907,O75581,1
CALM1,PLPP6,P0DP23,Q8IY26,1
RSPO3,WNT8B,Q9BXY4,Q93098,1
INHBB,ACVR1C_ACVR2A,P09529,Q8NER5_P27037,1
EDN3,EDNRB,P14138,P24530,1
GNAS,PTGIR,Q5JWF2,P43119,1
LHB,GPR84,P01229,Q9NQS5,1
B2M,KIR2DL3,P61769,P43628,1
HLA-DQA2,CD4,P01906,P01730,1
OSM,IL6ST_LIFR,P13725,P40189_P42702,1
WNT10B,FZD8_LRP5,O00744,Q9H461_O75197,1
TENM4,ADGRL2,Q6N022,O95490,1
GLS2_SLC17A6,GRIK1_GRIK4,COMPLEX:Q9P2U8_Q9UI32,P39086_NA,1
GLS2_SLC17A8,GRIA2,COMPLEX:Q8NDX2_Q9UI32,P42262,1
CCL20,ADRA2A,P78556,P08913,1
PYY,NPY1R,P10082,P25929,1
RLN3,RAMP3,Q8WXF3,O60896,1
VEGFD,NRP2,O43915,O60462,1
ADAM9,ITGA6,Q13443,P23229,1
COL6A3,ITGA2,P12111,P17301,1
LIF,LIFR,P15018,P42702,1
RTN4,CNTNAP1,Q9NQC3,P78357,1
COL9A2,ITGAV_ITGB8,Q14055,P06756_P26012,1
GNAS,ADCY9,Q5JWF2,O60503,1
GLS2_SLC1A7,GRIA1,COMPLEX:O00341_Q9UI32,P42261,1
NODAL,ACVR1C_ACVR2B_CRIPTO,Q96S42,Q8NER5_Q13705_P13385,1
SOSTDC1,WNT10B,Q6X4U4,O00744,1
CHAT_SLC18A3,CHRM4,COMPLEX:P28329_Q16572,P08173,1
CHAT_SLC18A3,CHRM1,COMPLEX:P28329_Q16572,P11229,1
INHA_INHBA,ACVR1_ACVR2B,COMPLEX:P05111_P08476,Q04771_Q13705,1
CSF3,CSF2RB,P09919,P32927,1
EREG,ERBB2_ERBB4,O14944,P04626_Q15303,1
COL4A1,ITGA10_ITGB1,P02462,O75578_P05556,1
THBS2,ITGA3_ITGB1,P35442,P26006_P05556,1
CXCL6,CXCR2,P80162,P25025,1
ICOSLG,CD28,O75144,P10747,1
IGFBP4,WNT2B,P22692,Q93097,1
AKR1C3,PTGFR,COMPLEX:P42330,P43088,1
IL1B,IL1R1,P01584,P14778,1
BTC,ERBB3,P35070,P21860,1
WNT2B,FZD6_LRP5,Q93097,O60353_O75197,1
KLB,FGFR1,Q86Z14,P11362,1
INSL3,PTH1R,P51460,Q03431,1
SFRP2,WNT9B,Q96HF1,O14905,1
GLS2_SLC1A1,GRM3,COMPLEX:P43005_Q9UI32,Q14832,1
CDH7,CDH7,Q9ULB5,Q9ULB5,1
L1CAM,ERBB2,P32004,P04626,1
APOB,ITGB2,P04114,P05107,1
VEGFD,FLT4,O43915,P35916,1
COL4A2,ITGA3_ITGB1,P08572,P26006_P05556,1
LAMC1,ITGA7_ITGB1,P11047,Q13683_P05556,1
WNT5A,FZD3,P41221,Q9NPG1,1
INSL3,ADRB3,P51460,P13945,1
HLA-A,APLP2,P04439,Q06481,1
FN1,ITGA9,P02751,Q13797,1
IL13,IL13_IL13RA1_IL4R,P35225,P35225_P78552_P24394,1
B2M,KLRC1,P61769,P26715,1
CDH6,CDH6,P55285,P55285,1
WNT8A,FZD6_LRP5,Q9H1J5,O60353_O75197,1
SFRP1,WNT9A,Q8N474,O14904,1
GLS2_SLC1A6,GRIK1_GRIK4,COMPLEX:P48664_Q9UI32,P39086_NA,1
BTC,ERBB2_ERBB4,P35070,P04626_Q15303,1
RNF43,FZD3_LRP6,Q68DV7,Q9NPG1_O75581,1
ITGA9_ITGB1,VCAM1,COMPLEX:P05556_Q13797,P19320,1
DHCR7,NR1H3,COMPLEX:Q9UBM7,Q13133,1
IL20RB,IL20RA,Q6UXL0,Q9UHF4,1
SOST,WNT7A,Q9BQB4,O00755,1
GZMB,PGRMC1,P10144,O00264,1
TNR,ITGA8_ITGB1,Q92752,P53708_P05556,1
GLS_SLC1A7,GRIK3_GRIK5,COMPLEX:O00341_O94925,Q13003_NA,1
HCRT,HCRTR1,O43612,O43613,1
FRZB,WNT3A,Q92765,P56704,1
SHH,GAS1_PTCH2,Q15465,P54826_Q9Y6C5,1
FGF2,FGFR1,P09038,P11362,1
WNT3A,FZD2_LRP6,P56704,Q14332_O75581,1
INHA_INHBB,ACVR1_ACVR2B,COMPLEX:P05111_P09529,Q04771_Q13705,1
PAPLN,SIRPA,O95428,P78324,1
RSPO2,WNT2B,Q6UXX9,Q93097,1
LAMA4,ITGB1,Q16363,P05556,1
CCL2,CCR5,P13500,P51681,1
ANGPTL4,TEK,Q9BY76,Q02763,1
BMP3,BMP8B,P12645,P34820,1
ADORA3,ENTPD1,P0DMS8,P49961,1
CALM1,ABCA1,P0DP23,O95477,1
SULT1E1,PPARD,COMPLEX:P49888,Q03181,1
SERPINE1,LRP2,P05121,P98164,1
BMP8A,BMPR2,Q7Z5Y6,Q13873,1
LAMC1,ITGA3_ITGB1,P11047,P26006_P05556,1
GLS2_SLC1A3,GRIK2,COMPLEX:P43003_Q9UI32,Q13002,1
PTH,TSHR,P01270,P16473,1
COL5A3,SDC3,P25940,O75056,1
CALM1,PDE1C,P0DP23,Q14123,1
CHAT,CHRNA6_CHRNB3_CHRNB4,COMPLEX:P28329,Q15825_Q05901_P30926,1
SFRP4,WNT8B,Q6FHJ7,Q93098,1
EFNA3,EPHA3,P52797,P29320,1
IFNA10,IFNA2_IFNAR1_IFNAR2,P01566,P01563_P17181_P48551,1
GLS2_SLC1A2,GRIN1_GRIN2B,COMPLEX:P43004_Q9UI32,NA_NA,1
KRTAP4-12,CNTFR,Q9BQ66,P26992,1
CLEC3A,CLEC2B,O75596,Q92478,1
NPPA,NPR1,P01160,P16066,1
GLS2_SLC17A6,GRIK2_GRIK4,COMPLEX:Q9P2U8_Q9UI32,Q13002_NA,1
INHBA,TGFB1,P08476,P01137,1
RNF43,FZD9_LRP6,Q68DV7,O00144_O75581,1
IL12A_IL12B,IL12RB1_IL12RB2,COMPLEX:P29459_P29460,P42701_Q99665,1
CLEC3A,CLEC10A,O75596,Q8IUN9,1
VEGFC,NRP2,P49767,O60462,1
TNC,ITGB1,P24821,P05556,1
PDGFD,PDGFRA_PDGFRB,Q9GZP0,P16234_P09619,1
COL1A1,ITGA9_ITGB1,P02452,Q13797_P05556,1
EPHB2,EFNA5,P29323,P52803,1
LTBP1,TGFB2,Q14766,P61812,1
WNT3,FZD8_LRP5,P56703,Q9H461_O75197,1
WNT1,FZD6_LRP5,P04628,O60353_O75197,1
COL5A1,SDC3,P20908,O75056,1
GLS2_SLC1A1,GRM2,COMPLEX:P43005_Q9UI32,Q14416,1
SERPINA7,SLC16A2,P05543,P36021,1
IAPP,RAMP1,P10997,O60894,1
IL36G,IL36RN,Q9NZH8,Q9UBH0,1
IFNL2,IL10RB,Q8IZJ0,Q08334,1
RSPO3,LGR4,Q9BXY4,Q9BXB1,1
GDF3,BMPR1A,Q9NR23,P36894,1
COL6A3,ITGAV_ITGB8,P12111,P06756_P26012,1
COL4A3,ITGA10_ITGB1,Q01955,O75578_P05556,1
CCL20,GRM7,P78556,Q14831,1
NT5E_SLC29A3,ADORA2B,COMPLEX:P21589_Q9BZD2,P29275,1
GAD2_SLC32A1,GABRA6_GABRB3_GABRD,COMPLEX:Q05329_Q9H598,NA_NA_NA,1
RSPO2,WNT6,Q6UXX9,Q9Y6F9,1
BMP3,ACVR2B,P12645,Q13705,1
SLC18A2_TPH1,HTR5A,COMPLEX:P17752_Q05940,P47898,1
INHBA,TGFB3,P08476,P10600,1
GAD2_SLC6A13,GABRA4_GABRB3_GABRD,COMPLEX:Q05329_Q9NSD5,NA_NA_NA,1
MMP9,ITGB2,P14780,P05107,1
GLS_SLC17A7,GRIA3,COMPLEX:O94925_Q9P2U7,P42263,1
VTN,ITGA8_ITGB1,P04004,P53708_P05556,1
TAC3,TACR3,Q9UHF0,P29371,1
TNC,PTPRZ1,P24821,P23471,1
CCN2,ITGB2,P29279,P05107,1
GAD2_SLC6A8,GABRA4_GABRB3_GABRD,COMPLEX:P48029_Q05329,NA_NA_NA,1
PTH2,RAMP2,Q96A98,O60895,1
CXCL11,ADRA2A,O14625,P08913,1
CALM1,GLP2R,P0DP23,O95838,1
TENM4,ADGRL3,Q6N022,Q9HAR2,1
GAD1_SLC6A12,GABRA1_GABRB2_GABRD,COMPLEX:P48065_Q99259,NA_NA_NA,1
PTPRF,INSR,P10586,P06213,1
WNT7B,FZD1_LRP5,P56706,Q9UP38_O75197,1
NOTCH1,JAG1,P46531,P78504,1
COL2A1,ITGA1,P02458,P56199,1
M0R343,CDH7,M0R343,Q9ULB5,1
GREM2,BMP8A,Q9H772,Q7Z5Y6,1
PAPLN,NECTIN4,O95428,Q96NY8,1
TNF,TRAF2,P01375,Q12933,1
ICAM1,EGFR,P05362,P00533,1
GLS2_SLC1A2,GRM8,COMPLEX:P43004_Q9UI32,O00222,1
NTNG1,LRRC4C,Q9Y2I2,Q9HCJ2,1
GPC3,LRP1,P51654,Q07954,1
APOB,TLR6,P04114,Q9Y2C9,1
SLPI,CD4,P03973,P01730,1
CALM2,GRM5,P0DP24,P41594,1
CCL1,ACKR4,P22362,Q9NPB9,1
KNG1,BDKRB2,P01042,P30411,1
CHAT_SLC5A7,CHRM5,COMPLEX:P28329_Q9GZV3,P08912,1
SERPINF1,WNT10B,P36955,O00744,1
GAD1_SLC6A13,GABRA4_GABRB3_GABRG2,COMPLEX:Q99259_Q9NSD5,NA_NA_NA,1
PDGFB,ART1,P01127,P52961,1
AFDN,NECTIN3,P55196,Q9NQS3,1
SHH,PTCH2,Q15465,Q9Y6C5,1
LAMA1,ITGA6_ITGB1,P25391,P23229_P05556,1
CER1,WNT9A,O95813,O14904,1
AVP,LDLR,P01185,P01130,1
KL,FGFR4,Q9UEF7,P22455,1
FRZB,WNT7B,Q92765,P56706,1
HLA-A,CD3D,P04439,P04234,1
ALOX5AP,ALOX5,P20292,P09917,1
ALDH1A3,CRABP2_RARG_RXRG,COMPLEX:P47895,NA_NA_NA,1
ERBB2,HLA-C,P04626,P10321,1
COL2A1,ITGA2B,P02458,P08514,1
SFRP4,WNT2,Q6FHJ7,P09544,1
GLS2_SLC17A8,GRM1,COMPLEX:Q8NDX2_Q9UI32,Q13255,1
PDGFA,PDGFRA,P04085,P16234,1
INHBA_INHBB,ACVR1B_ACVR2B,COMPLEX:P08476_P09529,P36896_Q13705,1
DLL4,NOTCH3,Q9NR61,Q9UM47,1
CCL13,CCR10,Q99616,P46092,1
GDF7,ACVR2A_BMPR1A,Q7Z4P5,P27037_P36894,1
DDC,DRD4,COMPLEX:P20711,P21917,1
CALM2,SELL,P0DP24,P14151,1
WNT9B,FZD3_LRP6,O14905,Q9NPG1_O75581,1
BMP3,ACVR1,P12645,Q04771,1
THBS2,ITGA4,P35442,P13612,1
GLS_SLC1A3,GRIN1_GRIN2C,COMPLEX:O94925_P43003,NA_Q14957,1
ADM,GPR84,P35318,Q9NQS5,1
SFRP5,WNT1,Q5T4F7,P04628,1
COL1A2,CD44,P08123,P16070,1
TNFSF12,TNFRSF8,O43508,P28908,1
DKK1,WNT7B,O94907,P56706,1
NRP2,SEMA4F,O60462,O95754,1
CCL25,CCR10,O15444,P46092,1
CCL23,GRM7,P55773,Q14831,1
APP,GPC1,P05067,P35052,1
PLAU,VLDLR,P00749,P98155,1
RLN3,RXFP4,Q8WXF3,Q8TDU9,1
MFAP5,NOTCH1,Q13361,P46531,1
WNT16,FZD6_LRP6,Q9UBV4,O60353_O75581,1
THBS1,ITGA3,P07996,P26006,1
RSPO4,WNT3A,Q2I0M5,P56704,1
FGF13,FGFR2,Q92913,P21802,1
GAD2_SLC6A12,GABRA3_GABRB3_GABRE,COMPLEX:P48065_Q05329,NA_NA_NA,1
WNT3,FZD10_LRP6,P56703,Q9ULW2_O75581,1
JAG2,NOTCH4,Q9Y219,Q99466,1
IFNA6,IFNAR1,P05013,P17181,1
BTC,ERBB4,P35070,Q15303,1
VWF,TNFRSF11B,P04275,O00300,1
IGFBP6,IGF1,P24592,P05019,1
BMP15,BMPR1B,O95972,O00238,1
GAD1_SLC6A6,GABRA1_GABRB2,COMPLEX:P31641_Q99259,NA_NA,1
ERBB2,SEMA4D,P04626,Q92854,1
CCL16,MTNR1A,O15467,P48039,1
BAMBI,FZD1_LRP5,Q13145,Q9UP38_O75197,1
DDC,HTR3A,COMPLEX:P20711,P46098,1
WNT11,FZD5,O96014,Q13467,1
TAFA5,S1PR2,Q7Z5A7,O95136,1
TAC1,CXCR3,P20366,P49682,1
IL22,IL22RA2,Q9GZX6,Q969J5,1
CALM1,HTR2C,P0DP23,P28335,1
COL18A1,KDR,P39060,P35968,1
CD55,ADGRE2,P08174,Q9UHX3,1
DDC_SLC18A1,DRD4,COMPLEX:P20711_P54219,P21917,1
GLS2_SLC17A6,GRIK3,COMPLEX:Q9P2U8_Q9UI32,Q13003,1
EMILIN1,TGFB2,Q9Y6C2,P61812,1
PSPN,GFRA4_RET,O60542,Q9GZZ7_P07949,1
ZNRF3,FZD6_LRP6,Q9ULT6,O60353_O75581,1
FGF14,FGFR1,Q92915,P11362,1
WNT3,FZD6_LRP6,P56703,O60353_O75581,1
FN1,ITGAV_ITGB1,P02751,P06756_P05556,1
CER1,WNT7B,O95813,P56706,1
CALM3,ABCA1,P0DP25,O95477,1
GAD2_SLC6A11,GABRA1_GABRB2_GABRG2,COMPLEX:P48066_Q05329,NA_NA_NA,1
TNFSF13,TNFRSF1A,O75888,P19438,1
COL1A2,ITGA3_ITGB1,P08123,P26006_P05556,1
RSPO4,WNT1,Q2I0M5,P04628,1
IAPP,CALCR_RAMP3,P10997,P30988_O60896,1
COL9A1,CD44,P20849,P16070,1
WNT1,FZD2_LRP6,P04628,Q14332_O75581,1
DKK1,KREMEN2,O94907,Q8NCW0,1
COL6A2,SDC4,P12110,P31431,1
CNTNAP1,RTN4,P78357,Q9NQC3,1
COL9A1,ITGB1,P20849,P05556,1
GLS_SLC1A7,GRIK1_GRIK4,COMPLEX:O00341_O94925,P39086_NA,1
F13A1,ITGA4,P00488,P13612,1
NLGN2,NRXN1,Q8NFZ4,P58400,1
HSD17B1,ESR1,COMPLEX:P14061,P03372,1
CRP,OLR1,P02741,P78380,1
CCL13,CCR2,Q99616,P41597,1
PLAU,ITGA5,P00749,P08648,1
GZMB,IGF2R,P10144,P11717,1
MFNG,NOTCH1,O00587,P46531,1
MEPE,PHEX,Q9NQ76,P78562,1
BMP2,ACVRL1,P12643,P37023,1
PF4V1,CXCR3,P10720,P49682,1
PTH2,PTH2R,Q96A98,P49190,1
DKK2,WNT8A,Q9UBU2,Q9H1J5,1
BMP8A,BMPR1A,Q7Z5Y6,P36894,1
CRH,TSHR,P06850,P16473,1
GALP,GALR1_GPR151,Q9UBC7,P47211_Q8TDV0,1
PSAP,GPR37L1,P07602,O60883,1
POMC,OPRK1,P01189,P41145,1
LAMA2,ITGB1,P24043,P05556,1
RSPO1,WNT3A,Q2MKA7,P56704,1
CCL14,CCR5,Q16627,P51681,1
IGFBP4,WNT2,P22692,P09544,1
COL8A1,ITGA2,P27658,P17301,1
MIA,CDH19,Q16674,Q9H159,1
CALM3,AQP6,P0DP25,Q13520,1
POMC,MTNR1A,P01189,P48039,1
NTN1,UNC5C,O95631,O95185,1
VIP,ADRB3,P01282,P13945,1
FLRT3,ADGRL2,Q9NZU0,O95490,1
LAMA1,ITGA2_ITGB1,P25391,P17301_P05556,1
SLC18A1_TPH1,HTR1F,COMPLEX:P17752_P54219,P30939,1
SCT,VIPR2,P09683,P41587,1
INHBC,ACVR1C_ACVR2A,P55103,Q8NER5_P27037,1
IGFBP4,WNT16,P22692,Q9UBV4,1
DDC_SLC6A3,DRD4,COMPLEX:P20711_Q01959,P21917,1
PLXNB1,SEMA4D,O43157,Q92854,1
FGF20,FGFR2,Q9NP95,P21802,1
DDC,DRD5,COMPLEX:P20711,P21918,1
COL1A1,ITGA11,P02452,Q9UKX5,1
LAMA4,CD44,Q16363,P16070,1
DKK2,WNT6,Q9UBU2,Q9Y6F9,1
INSL3,GPR20,P51460,Q99678,1
CTF1,IL6ST,Q16619,P40189,1
ZNRF3,FZD6_LRP5,Q9ULT6,O60353_O75197,1
CORT,SSTR1,O00230,P30872,1
HLA-B,LILRB1,P01889,Q8NHL6,1
WNT7A,FZD10_LRP6,O00755,Q9ULW2_O75581,1
GNB3,TGFBR1,P16520,P36897,1
COL1A2,FLT4,P08123,P35916,1
SFRP1,WNT2B,Q8N474,Q93097,1
AVP,AVPR1B,P01185,P47901,1
CYP19A1,NR1I2,COMPLEX:P11511,O75469,1
ROR2,FZD1,Q01974,Q9UP38,1
GLS_SLC17A6,GRIA1,COMPLEX:O94925_Q9P2U8,P42261,1
SFRP2,WNT10A,Q96HF1,Q9GZT5,1
HRAS,TLR2,P01112,O60603,1
IGF1,IGF2R,P05019,P11717,1
ASIP,ATRN,P42127,O75882,1
FGF23,PHEX,Q9GZV9,P78562,1
GLS_SLC17A8,GRIN1_GRIN2B,COMPLEX:O94925_Q8NDX2,NA_NA,1
RYK,FZD1,P34925,Q9UP38,1
COL4A1,ITGA11_ITGB1,P02462,Q9UKX5_P05556,1
IFNA14,IFNAR1_IFNAR2,P01570,P17181_P48551,1
GLS2_SLC1A3,GRIK1,COMPLEX:P43003_Q9UI32,P39086,1
SLC18A2_TPH2,HTR5A,COMPLEX:Q05940_Q8IWU9,P47898,1
LAMB2,ITGA3_ITGB1,P55268,P26006_P05556,1
RYK,FZD3,P34925,Q9NPG1,1
LAMA2,CD44,P24043,P16070,1
NBL1,BMP2,P41271,P12643,1
SEMA3A,PLXNA1,Q14563,Q9UIW2,1
F2,GP9,P00734,P14770,1
RSPO1,FZD8,Q2MKA7,Q9H461,1
GLS2_SLC17A7,GRIA3,COMPLEX:Q9P2U7_Q9UI32,P42263,1
INHBB,NODAL,P09529,Q96S42,1
BMP4,ACVR2B,P12644,Q13705,1
COL4A3,ITGA2,Q01955,P17301,1
IHH,BOC,Q14623,Q9BWV1,1
F2,GP1BA_GP1BB,P00734,P07359_P13224,1
TSHB,RAMP2,P01222,O60895,1
DBH_SLC6A2,ADRB2,COMPLEX:P09172_P23975,P07550,1
BMP10,BMPR1B,O95393,O00238,1
FGB,ITGB2,P02675,P05107,1
FGF2,FGFRL1,P09038,Q8N441,1
SLC18A2_TPH1,HTR2A,COMPLEX:P17752_Q05940,P28223,1
RSPO1,WNT9B,Q2MKA7,O14905,1
CALM3,TRPC5,P0DP25,Q9UL62,1
SHH,BOC,Q15465,Q9BWV1,1
FGF13,SCN8A,Q92913,Q9UQD0,1
BAMBI,FZD7_LRP5,Q13145,O75084_O75197,1
RLN3,GRM7,Q8WXF3,Q14831,1
CHRD,BMP15,Q9H2X0,O95972,1
ASIP,MC1R,P42127,Q01726,1
VEGFD,ITGA9,O43915,Q13797,1
EFNA5,EPHA7,P52803,Q15375,1
PTH,GPR84,P01270,Q9NQS5,1
CXCL12,CXCR4,P48061,P61073,1
HLA-G,CD4,P17693,P01730,1
ALOX5_ALOX5AP_LTC4S,OXER1,COMPLEX:P09917_P20292_Q16873,Q8TDS5,1
DRAXIN,WNT9A,Q8NBI3,O14904,1
PENK,MTNR1A,P01210,P48039,1
VTN,KDR,P04004,P35968,1
CALM2,GP6,P0DP24,Q9HCN6,1
NID1,COL13A1,P14543,Q5TAT6,1
APOE,LSR,P02649,Q86X29,1
XCL1,XCR1,P47992,P46094,1
POMC,GRM7,P01189,Q14831,1
TLN1,ITGB5,Q9Y490,P18084,1
IL33,IL1RL1,O95760,Q01638,1
EFNA1,EPHA6,P20827,Q9UF33,1
CALCA,ADRB3,P06881,P13945,1
GAD2_SLC32A1,GABRA1_GABRB2,COMPLEX:Q05329_Q9H598,NA_NA,1
EFNA5,EPHA3,P52803,P29320,1
IL17F,IL17RA,Q96PD4,Q96F46,1
UBB,TLR4,P0CG47,O00206,1
CER1,WNT1,O95813,P04628,1
CCL5,MTNR1A,P13501,P48039,1
BMP8A,ACVR1,Q7Z5Y6,Q04771,1
BMP3,BMPR1A,P12645,P36894,1
IL17B,IL17RA,Q9UHF5,Q96F46,1
SEMA4D,MET,Q92854,P08581,1
SLC18A2_TPH2,HTR4,COMPLEX:Q05940_Q8IWU9,Q13639,1
NTNG2,LRRC4C,Q96CW9,Q9HCJ2,1
APOC2,LRP2,P02655,P98164,1
HCRT,HCRTR2,O43612,O43614,1
CLEC2A,KLRF2,Q6UVW9,D3W0D1,1
LAMC3,ITGA3_ITGB1,Q9Y6N6,P26006_P05556,1
