ligand,receptor,source,target,label
GAD1_SLC6A6,GABRA6_GABRB3_GABRG2,COMPLEX:P31641_Q99259,NA_NA_NA,1
LAMB2,SV2A,P55268,Q7L0J3,1
IL36RN,IL36G,Q9UBH0,Q9NZH8,1
GLS_SLC1A2,GRIA3,COMPLEX:O94925_P43004,P42263,1
SLC6A4_TPH2,HTR1D,COMPLEX:P31645_Q8IWU9,P28221,1
CLEC4M,ICAM1,Q9H2X3,P05362,1
OMG,NGFR,P23515,P08138,1
GHRH,PTH1R,P01286,Q03431,1
GLS_SLC1A2,GRIK1_GRIK5,COMPLEX:O94925_P43004,P39086_NA,1
PDGFA,PDGFRA,P04085,P16234,1
GAD1_SLC6A8,GABRA5_GABRB3_GABRG2,COMPLEX:P48029_Q99259,NA_NA_NA,1
GLS2_SLC1A2,GRIN1_GRIN2B,COMPLEX:P43004_Q9UI32,NA_NA,1
BAMBI,ACVR1B_ACVR2B,Q13145,P36896_Q13705,1
GAD1_SLC6A6,GABBR1,COMPLEX:P31641_Q99259,Q9UBS5,1
CD24,SIGLEC10,P25063,Q96LC7,1
PNMT,ADRA2A,COMPLEX:P11086,P08913,1
LAMA1,ITGA6_ITGB1,P25391,P23229_P05556,1
WNT10B,FZD1_LRP6,O00744,Q9UP38_O75581,1
CCL7,CCR5,P80098,P51681,1
APCDD1,FZD7_LRP6,Q8J025,O75084_O75581,1
IL2,NGFR,P60568,P08138,1
BAMBI,FZD1_LRP6,Q13145,Q9UP38_O75581,1
EPHA8,EFNA4,P29322,P52798,1
LAMC2,ITGB1,Q13753,P05556,1
CNTN2,CNTNAP2,Q02246,Q9UHC6,1
CGA_CGB7,LHCGR,COMPLEX:P01215_P0DN87,P22888,1
RSPO3,SDC4,Q9BXY4,P31431,1
GLS2_SLC17A8,GRM7,COMPLEX:Q8NDX2_Q9UI32,Q14831,1
GLS_SLC17A6,GRIK3_GRIK5,COMPLEX:O94925_Q9P2U8,Q13003_NA,1
MYOC,FZD3,Q99972,Q9NPG1,1
LTA,LTBR,P01374,P36941,1
GLS_SLC17A6,GRIN1_GRIN2C,COMPLEX:O94925_Q9P2U8,NA_Q14957,1
LEFTY2,TGFB1,O00292,P01137,1
TNFSF4,TNFRSF4,P23510,P43489,1
FSHB,PTH1R,P01225,Q03431,1
GLS2_SLC1A1,GRIN1_GRIN2D,COMPLEX:P43005_Q9UI32,NA_O15399,1
GLS_SLC17A6,GRM6,COMPLEX:O94925_Q9P2U8,O15303,1
CXCL2,CXCR1,P19875,P25024,1
EFNA1,EPHB1,P20827,P54762,1
NPY,GPR83,P01303,Q9NYM4,1
WIF1,WNT1,Q9Y5W5,P04628,1
BMP5,ACVR1_ACVR2B,P22003,Q04771_Q13705,1
ADM2,ADRB3,Q7Z4H4,P13945,1
BMP5,BMPR1A,P22003,P36894,1
COL6A2,ITGB1,P12110,P05556,1
HSD3B1,CATSPER2_CATSPERB,COMPLEX:P14060,NA_NA,1
CALCB,PTH1R,P10092,Q03431,1
WIF1,WNT6,Q9Y5W5,Q9Y6F9,1
SEMA6A,NRP1_PLXNA2,Q9H2E6,O14786_O75051,1
LAMC2,SV2B,Q13753,Q7L1I2,1
GAD1_SLC6A1,GABRA6_GABRB3_GABRG2,COMPLEX:P30531_Q99259,NA_NA_NA,1
SCT,ADRB3,P09683,P13945,1
ZNRF3,FZD8_LRP5,Q9ULT6,Q9H461_O75197,1
IL36RN,IL1RAP_IL1RL2,Q9UBH0,Q9NPH3_Q9HB29,1
C4BPA,CD40,P04003,P25942,1
GAD1_SLC32A1,GABRA1_GABRB2,COMPLEX:Q99259_Q9H598,NA_NA,1
WIF1,WNT10B,Q9Y5W5,O00744,1
WNT9B,FZD10_LRP5,O14905,Q9ULW2_O75197,1
SST,SSTR1,P61278,P30872,1
COL4A3,SDC1,Q01955,P18827,1
GLS_SLC1A1,GRIN1_GRIN2D,COMPLEX:O94925_P43005,NA_O15399,1
IAPP,TSHR,P10997,P16473,1
APOE,TREM2_TYROBP,P02649,Q9NZC2_O43914,1
CYP11B1,NR3C1,COMPLEX:P15538,P04150,1
DLL3,NOTCH2,Q9NYJ7,Q04721,1
LTB,CD40,Q06643,P25942,1
POMC,GRM7,P01189,Q14831,1
PTGES3,PTGER4,COMPLEX:Q15185,P35408,1
LRFN4,PTPRF,Q6PJG9,P10586,1
LRRC4B,PTPRD,Q9NT99,P23468,1
PSEN1,NOTCH1,P49768,P46531,1
GNAI2,C5AR1,P04899,P21730,1
GDF11,ACVR2A_TGFBR1,O95390,P27037_P36897,1
NRG3,ERBB2_ERBB4,P56975,P04626_Q15303,1
GAD2_SLC6A12,GABRA6_GABRB3_GABRG2,COMPLEX:P48065_Q05329,NA_NA_NA,1
AVP,ADRB2,P01185,P07550,1
WNT6,FZD6_LRP5,Q9Y6F9,O60353_O75197,1
LAMA3,ITGA3_ITGB1,Q16787,P26006_P05556,1
TPH1,HTR2C,P17752,P28335,1
TNFSF11,TNFRSF11B,O14788,O00300,1
GAD2_SLC6A6,GABRA1_GABRB2,COMPLEX:P31641_Q05329,NA_NA,1
SLIT1,GPC1,O75093,P35052,1
SLC18A1_TPH1,HTR1E,COMPLEX:P17752_P54219,P28566,1
GAD1_SLC32A1,GABRA5_GABRB3_GABRG2,COMPLEX:Q99259_Q9H598,NA_NA_NA,1
GLS2_SLC17A6,GRIK3,COMPLEX:Q9P2U8_Q9UI32,Q13003,1
LAMA4,ITGA3_ITGB1,Q16363,P26006_P05556,1
DLL4,NOTCH4,Q9NR61,Q99466,1
COL6A1,ITGB1,P12109,P05556,1
COL4A5,GP6,P29400,Q9HCN6,1
TNN,ITGAV_ITGB6,Q9UQP3,P06756_P18564,1
HLA-G,CD8B,P17693,P10966,1
CCN1,H3BM21,O00622,H3BM21,1
GAD1_SLC6A8,GABRA1_GABRB3,COMPLEX:P48029_Q99259,NA_NA,1
SLC18A2_TPH2,HTR1F,COMPLEX:Q05940_Q8IWU9,P30939,1
BMP7,ACVR1_ACVR2B,P18075,Q04771_Q13705,1
IL36RN,IL36A,Q9UBH0,Q9UHA7,1
HLA-G,LILRB2,P17693,Q8N423,1
LCN2,SLC22A17,P80188,Q8WUG5,1
GGT1,CYSLTR1,COMPLEX:P19440,Q9Y271,1
COL6A2,ITGA2,P12110,P17301,1
PPY,NPY6R,P01298,Q99463,1
LAMC2,SV2A,Q13753,Q7L0J3,1
RSPO2,WNT3,Q6UXX9,P56703,1
IL26,IL10RB,Q9NPH9,Q08334,1
EPHA4,EFNA3,P54764,P52797,1
GAD1_SLC6A12,GABRA1_GABRB2,COMPLEX:P48065_Q99259,NA_NA,1
APOC3,LRP1,P02656,Q07954,1
IL3,CSF2RB,P08700,P32927,1
IFNG,IFNGR2,P01579,P38484,1
SST,SSTR5,P61278,P35346,1
POMC,MC1R,P01189,Q01726,1
VTN,ITGAV_ITGB1,P04004,P06756_P05556,1
TNF,TNFRSF1B,P01375,P20333,1
RLN2,GPR20,P04090,Q99678,1
BMP7,ACVR2B_BMPR1B,P18075,Q13705_O00238,1
BMP10,ENG,O95393,P17813,1
SLC18A1_TPH1,HTR1D,COMPLEX:P17752_P54219,P28221,1
VEGFD,FLT1,O43915,P17948,1
COL4A1,CD44,P02462,P16070,1
PPBP,CXCR1,P02775,P25024,1
CRLF2,CRLF2_IL7R_TSLP,Q9HC73,Q9HC73_P16871_Q969D9,1
CGA,FSHR,P01215,P23945,1
INSL5,GRM7,Q9Y5Q6,Q14831,1
CXCL1,CXCR1,P09341,P25024,1
LAMA2,ITGB1,P24043,P05556,1
GAD1_SLC6A1,GABRA1_GABRB3_GABRG2,COMPLEX:P30531_Q99259,NA_NA_NA,1
GDF5,ACVR2A_BMPR1B,P43026,P27037_O00238,1
ICAM4,ITGB2,Q14773,P05107,1
SPTBN2,PTPRA,O15020,P18433,1
F7,F3,P08709,P13726,1
RPS27A,TGFBR2,P62979,P37173,1
WNT6,FZD9_LRP6,Q9Y6F9,O00144_O75581,1
SEMA3C,PLXND1,Q99985,Q9Y4D7,1
NBL1,GDF7,P41271,Q7Z4P5,1
NRXN3,ADGRL1,Q9Y4C0,O94910,1
NCAM1,FGFR1,P13591,P11362,1
CSF2,CSF3R,P04141,Q99062,1
GLS_SLC1A7,GRIK1,COMPLEX:O00341_O94925,P39086,1
PRSS1,PARD3,P07477,Q8TEW0,1
LRPAP1,VLDLR,P30533,P98155,1
IL6,A0A087WTB5,P05231,A0A087WTB5,1
CCL15,CCR3,Q16663,P51677,1
GLS_SLC1A7,GRIA4,COMPLEX:O00341_O94925,P48058,1
PTPRF,INSR,P10586,P06213,1
HLA-E,CD8A,P13747,P01732,1
NID1,COL13A1,P14543,Q5TAT6,1
IL1B,ADRB2,P01584,P07550,1
TSHB,RAMP3,P01222,O60896,1
GLS_SLC1A1,GRIK2_GRIK5,COMPLEX:O94925_P43005,Q13002_NA,1
C5,C5AR2,P01031,Q9P296,1
CALCA,ADCYAP1R1,P06881,P41586,1
WNT5A,LRP5,P41221,O75197,1
GLS_SLC17A6,GRIK1_GRIK4,COMPLEX:O94925_Q9P2U8,P39086_NA,1
COL2A1,OR1E1,P02458,P30953,1
NTN1,DCC,O95631,P43146,1
PTPRM,PTPRM,P28827,P28827,1
FGL1,EGFR,Q08830,P00533,1
WNT6,FZD5_LRP6,Q9Y6F9,Q13467_O75581,1
LAMA5,SV2B,O15230,Q7L1I2,1
GLS_SLC1A3,GRIA4,COMPLEX:O94925_P43003,P48058,1
LTF,TFRC,P02788,P02786,1
NELL2,ROBO3,Q99435,Q96MS0,1
ERBB2,EFNB1,P04626,P98172,1
GLS2_SLC17A8,GRIN1_GRIN2C,COMPLEX:Q8NDX2_Q9UI32,NA_Q14957,1
NRG2,ERBB2,O14511,P04626,1
CCL16,CCR5,O15467,P51681,1
GNAS,AVPR2,Q5JWF2,P30518,1
SAA1,GRM7,P0DJI8,Q14831,1
WNT9B,FZD7_LRP5,O14905,O75084_O75197,1
EFNB1,EPHA4,P98172,P54764,1
NCAM1,CACNA1C,P13591,Q13936,1
GLS_SLC1A1,GRM3,COMPLEX:O94925_P43005,Q14832,1
CALM1,MYLK,P0DP23,Q15746,1
PGF,NRP2,P49763,O60462,1
SLC18A1_TPH1,HTR4,COMPLEX:P17752_P54219,Q13639,1
SHH,BOC_PTCH2,Q15465,Q9BWV1_Q9Y6C5,1
RTN4,RTN4R,Q9NQC3,Q9BZR6,1
RSPO1,WNT1,Q2MKA7,P04628,1
WNT3,RYK,P56703,P34925,1
HLA-B,KIR3DL1,P01889,P43629,1
ADM,GPR182,P35318,O15218,1
CCL13,CCR2,Q99616,P41597,1
GHRH,ADCYAP1R1,P01286,P41586,1
HLA-C,CD8B,P10321,P10966,1
NLGN2,NRXN1,Q8NFZ4,P58400,1
FST,INHBA,P19883,P08476,1
BAMBI,FZD4_LRP5,Q13145,Q9ULV1_O75197,1
ZNRF3,FZD4_LRP6,Q9ULT6,Q9ULV1_O75581,1
SFRP1,WNT9A,Q8N474,O14904,1
GLS2_SLC17A8,GRIK1_GRIK5,COMPLEX:Q8NDX2_Q9UI32,P39086_NA,1
COL6A1,ITGA2,P12109,P17301,1
CCL5,ACKR1,P13501,Q16570,1
SFRP2,WNT1,Q96HF1,P04628,1
GAD2_SLC6A12,GABRA6_GABRB3_GABRD,COMPLEX:P48065_Q05329,NA_NA_NA,1
IFNA7,IFNA2_IFNAR1_IFNAR2,P01567,P01563_P17181_P48551,1
CCL7,ACKR4,P80098,Q9NPB9,1
COL6A6,CD44,A6NMZ7,P16070,1
TNFRSF11B,TNFSF10,O00300,P50591,1
SSTR2,SHANK1,P30874,Q9Y566,1
LAMC2,ITGA3_ITGB1,Q13753,P26006_P05556,1
CCL11,CCR10,P51671,P46092,1
LAMA2,DAG1,P24043,Q14118,1
GCG,GIPR,P01275,P48546,1
WNT5A,FZD10,P41221,Q9ULW2,1
TGFB1,SMAD3,P01137,P84022,1
FGF3,FGFR1,P11487,P11362,1
NMB,BRS3,P08949,P32247,1
WNT3A,FZD8_LRP6,P56704,Q9H461_O75581,1
BMP3,ACVR1,P12645,Q04771,1
SHBG,SLC37A1,P04278,P57057,1
LAMA5,ITGA7_ITGB1,O15230,Q13683_P05556,1
IFNA10,IFNA2_IFNAR1_IFNAR2,P01566,P01563_P17181_P48551,1
LAMA2,ADGRG6,P24043,Q86SQ4,1
APP,CAV1,P05067,Q03135,1
APOB,LRP8,P04114,Q14114,1
COL5A2,ITGA1,P05997,P56199,1
CHAT_SLC10A4,CHRNA7,COMPLEX:P28329_Q96EP9,COMPLEX:P36544,1
KLB,FGFR2,Q86Z14,P21802,1
FGG,ITGB3,P02679,P05106,1
NPS,VIPR1,P0C0P6,P32241,1
CXCL9,GRM7,Q07325,Q14831,1
WNT7A,FZD8_LRP5,O00755,Q9H461_O75197,1
EGF,LDLR,P01133,P01130,1
ANGPTL2,TEK,Q9UKU9,Q02763,1
SRD5A2,AR,COMPLEX:P31213,P10275,1
LCN1,LMBR1L,P31025,Q6UX01,1
RSPO3,WNT7A,Q9BXY4,O00755,1
PNMT_SLC18A1,ADRA1B,COMPLEX:P11086_P54219,P35368,1
IL2,IL2RA_IL2RB_IL2RG,P60568,P01589_P14784_P31785,1
LGALS3,MERTK,P17931,Q12866,1
EPHB3,EFNB3,P54753,Q15768,1
TNF,TNFRSF21,P01375,O75509,1
ADM,ADRB3,P35318,P13945,1
TGFB3,TGFBR3,P10600,Q03167,1
PSAP,GPR37,P07602,O15354,1
DHCR24,RORA,COMPLEX:Q15392,P35398,1
CLCF1,CNTFR,Q9UBD9,P26992,1
RYK,FZD3,P34925,Q9NPG1,1
CD226,NECTIN2,Q15762,Q92692,1
CER1,WNT3,O95813,P56703,1
NRXN2,NLGN1,P58401,Q8N2Q7,1
HLA-G,CD8A,P17693,P01732,1
CGA,TSHR,P01215,P16473,1
GLS_SLC17A7,GRIK1_GRIK5,COMPLEX:O94925_Q9P2U7,P39086_NA,1
GLS_SLC1A7,GRM1,COMPLEX:O00341_O94925,Q13255,1
IGFBP4,IGFL3,P22692,Q6UXB1,1
CADM3,EPB41L1,Q8N126,Q9H4G0,1
CTF1,IL6ST_LIFR,Q16619,P40189_P42702,1
COL18A1,GPC4,P39060,O75487,1
LAMA5,BCAM,O15230,P50895,1
F8WCM8,EFNB2,F8WCM8,P52799,1
DHCR7,NR1H3,COMPLEX:Q9UBM7,Q13133,1
RNASE2,TLR2,P10153,O60603,1
FRAS1_FREM2_NPNT,ITGA8_ITGB1,COMPLEX:Q5SZK8_Q6UXI9_Q86XX4,P53708_P05556,1
RSPO3,WNT8B,Q9BXY4,Q93098,1
PTH2,PTH2R,Q96A98,P49190,1
SPARC,PDGFD,P09486,Q9GZP0,1
NTF4,NTRK2,P34130,Q16620,1
RLN2,RXFP2,P04090,Q8WXD0,1
GNB3,TGFBR1,P16520,P36897,1
BMP8A,ACVR2A_BMPR1A,Q7Z5Y6,P27037_P36894,1
PLG,F3,P00747,P13726,1
DBH_SLC6A2,ADRA2B,COMPLEX:P09172_P23975,P18089,1
NBL1,BMP6,P41271,P22004,1
DDC_SLC6A3,DRD5,COMPLEX:P20711_Q01959,P21918,1
CALM2,KCNQ5,P0DP24,Q9NR82,1
GLS2_SLC1A3,GRIK3,COMPLEX:P43003_Q9UI32,Q13003,1
C1QA,CD93,P02745,Q9NPY3,1
TAC3,TACR3,Q9UHF0,P29371,1
GDF7,ACVR2B_BMPR1B,Q7Z4P5,Q13705_O00238,1
TPH1,HTR7,P17752,P34969,1
BMP6,BMPR1A_BMPR2,P22004,P36894_Q13873,1
GAD2_SLC32A1,GABRA1_GABRB3,COMPLEX:Q05329_Q9H598,NA_NA,1
GAD2_SLC6A13,GABRA3_GABRB3_GABRQ,COMPLEX:Q05329_Q9NSD5,NA_NA_NA,1
VTN,CD47,P04004,Q08722,1
GNAI2,CCR5,P04899,P51681,1
NPB,NPBWR1,Q8NG41,P48145,1
KISS1,MMP24,Q15726,Q9Y5R2,1
ZNRF3,FZD7_LRP5,Q9ULT6,O75084_O75197,1
CGA,ADRB3,P01215,P13945,1
LPL,VLDLR,P06858,P98155,1
CALM2,PDE1B,P0DP24,Q01064,1
COL4A6,ITGA2_ITGB1,Q14031,P17301_P05556,1
BMP3,BMP2,P12645,P12643,1
COL6A3,ITGAV_ITGB8,P12111,P06756_P26012,1
IAPP,ADRB3,P10997,P13945,1
PORCN,WNT4,Q9H237,P56705,1
INSL3,ADRB2,P51460,P07550,1
DDC,HTR2B,COMPLEX:P20711,P41595,1
BMP8A,ACVR1_ACVR2A,Q7Z5Y6,Q04771_P27037,1
COMP,ITGB1,P49747,P05556,1
CALM1,GRM7,P0DP23,Q14831,1
BMP8A,ACVR2B_BMPR1A,Q7Z5Y6,Q13705_P36894,1
DLK1,NOTCH2,P80370,Q04721,1
ARTN,GFRA3,Q5T4W7,O60609,1
COL5A2,DDR1,P05997,Q08345,1
FGF13,FGFR3,Q92913,P22607,1
BMP3,BMP5,P12645,P22003,1
VIP,GPR20,P01282,Q99678,1
CXCL2,XCR1,P19875,P46094,1
FN1,ITGAV,P02751,P06756,1
ERBB2,EGF,P04626,P01133,1
CALCA,RAMP2,P06881,O60895,1
NTN4,UNC5D,Q9HB63,Q6UXZ4,1
ULBP2,KLRK1,Q9BZM5,P26718,1
BMP8B,BMPR1B,P34820,O00238,1
RLN1,RXFP3,P04808,Q9NSD7,1
DUSP18,ITGA7,Q8NEJ0,Q13683,1
GLS_SLC1A6,GRM6,COMPLEX:O94925_P48664,O15303,1
GLS2_SLC17A8,GRIN1_GRIN2D,COMPLEX:Q8NDX2_Q9UI32,NA_O15399,1
IL17B,IL17RB,Q9UHF5,Q9NRM6,1
IAPP,CALCR,P10997,P30988,1
RLN1,RXFP1,P04808,Q9HBX9,1
THBS1,ITGA3_ITGB1,P07996,P26006_P05556,1
NPS,TSHR,P0C0P6,P16473,1
CHAT,CHRNA4_CHRNA6_CHRNB3,COMPLEX:P28329,P43681_Q15825_Q05901,1
DBH_SLC18A1,ADRB3,COMPLEX:P09172_P54219,P13945,1
HLA-B,CD3D,P01889,P04234,1
IFNA6,IFNAR1,P05013,P17181,1
NCAM2,L1CAM,O15394,P32004,1
RLN2,ADCYAP1R1,P04090,P41586,1
SOSTDC1,WNT2,Q6X4U4,P09544,1
BAMBI,FZD4_LRP6,Q13145,Q9ULV1_O75581,1
BMP8B,BMPR2,P34820,Q13873,1
FST,INHBA_INHBB,P19883,P08476_P09529,1
POMC,ADCYAP1R1,P01189,P41586,1
EFNA1,EPHA3,P20827,P29320,1
COL4A3,ITGB1,Q01955,P05556,1
NOG,GDF7,Q13253,Q7Z4P5,1
MDK,GPC2,P21741,Q8N158,1
GIP,ADCYAP1R1,P09681,P41586,1
HLA-E,VSIR,P13747,Q9H7M9,1
SFRP5,WNT16,Q5T4F7,Q9UBV4,1
WNT7A,FZD3_LRP6,O00755,Q9NPG1_O75581,1
IGFBP5,IGF1,P24593,P05019,1
DKK4,WNT6,Q9UBT3,Q9Y6F9,1
RSPO1,LGR6,Q2MKA7,Q9HBX8,1
GLS2_SLC1A7,GRIA3,COMPLEX:O00341_Q9UI32,P42263,1
SLURP2,CHRNE,P0DP57,Q04844,1
DAGLB,CNR1,COMPLEX:Q8NCG7,P21554,1
WNT7B,FZD1_LRP6,P56706,Q9UP38_O75581,1
WNT1,RYK,P04628,P34925,1
GLS2_SLC17A8,GRIA1,COMPLEX:Q8NDX2_Q9UI32,P42261,1
NPPB,NPR2,P16860,P20594,1
IL25,IL17RA_IL17RB,Q9H293,Q96F46_Q9NRM6,1
GDF9,BMPR1A,O60383,P36894,1
HLA-E,KLRC3_KLRD1,P13747,NA_Q13241,1
IGFBP3,IGF2,P17936,P01344,1
GAD2_SLC32A1,GABRA6_GABRB3_GABRG2,COMPLEX:Q05329_Q9H598,NA_NA_NA,1
C3,GRM7,P01024,Q14831,1
CHAT_SLC5A7,CHRM1,COMPLEX:P28329_Q9GZV3,P11229,1
COL1A1,ITGA3_ITGB1,P02452,P26006_P05556,1
SERPINA1,LRP1,P01009,Q07954,1
COL4A3,ITGAV,Q01955,P06756,1
C3,CD46,P01024,P15529,1
CHAT_SLC10A4,CHRM1,COMPLEX:P28329_Q96EP9,P11229,1
IL11,IL6ST,P20809,P40189,1
GPC3,CD81,P51654,P60033,1
CALR,ITGAV,P27797,P06756,1
GAD1_SLC6A6,GABRA4_GABRB2_GABRD,COMPLEX:P31641_Q99259,NA_NA_NA,1
IL10,IL10RB,P22301,Q08334,1
GLS2_SLC1A3,GRM4,COMPLEX:P43003_Q9UI32,Q14833,1
IL18,IL1RL2,Q14116,Q9HB29,1
LAMA2,SV2A,P24043,Q7L0J3,1
GLS2_SLC17A7,GRM3,COMPLEX:Q9P2U7_Q9UI32,Q14832,1
ENG,ACVR2A_ACVRL1,P17813,P27037_P37023,1
RSPO2,WNT7A,Q6UXX9,O00755,1
PMCH,MCHR1,P20382,Q99705,1
CXCL8,CXCR1,P10145,P25024,1
GC,LRP2,P02774,P98164,1
ICAM1,ITGB2,P05362,P05107,1
GLS_SLC17A8,GRM4,COMPLEX:O94925_Q8NDX2,Q14833,1
CCL28,ADRA2A,Q9NRJ3,P08913,1
